iter,t_ns,dt_ns,jitter_ns,miss,workload_ratio,cpu_load,mode
49,4528488867238,20016807,16807,0,0.7,25.0,NORMAL
50,4528508850682,19983444,16556,0,0.7,25.0,NORMAL
51,4528528850426,19999744,256,0,0.7,25.0,NORMAL
52,4528548850171,19999745,255,0,0.7,25.0,NORMAL
53,4528568851038,20000867,867,0,0.7,25.0,NORMAL
54,4528588850142,19999104,896,0,0.7,25.0,NORMAL
55,4528608850708,20000566,566,0,0.7,25.0,NORMAL
56,4528628856354,20005646,5646,0,0.7,25.0,NORMAL
57,4528648852232,19995878,4122,0,0.7,25.0,NORMAL
58,4528668857166,20004934,4934,0,0.7,25.0,NORMAL
59,4528688849016,19991850,8150,0,0.7,25.0,NORMAL
60,4528708856746,20007730,7730,0,0.7,25.0,NORMAL
61,4528728843496,19986750,13250,0,0.7,25.0,NORMAL
62,4528748851777,20008281,8281,0,0.7,25.0,NORMAL
63,4528768856361,20004584,4584,0,0.7,25.0,NORMAL
64,4528788856496,20000135,135,0,0.7,25.0,NORMAL
65,4528808849398,19992902,7098,0,0.7,25.0,NORMAL
66,4528828850014,20000616,616,0,0.7,25.0,NORMAL
67,4528848850160,20000146,146,0,0.7,25.0,NORMAL
68,4528868849874,19999714,286,0,0.7,25.0,NORMAL
69,4528888850060,20000186,186,0,0.7,25.0,NORMAL
70,4528908843643,19993583,6417,0,0.7,25.0,NORMAL
71,4528928843508,19999865,135,0,0.7,25.0,NORMAL
72,4528948850627,20007119,7119,0,0.7,25.0,NORMAL
73,4528968846775,19996148,3852,0,0.7,25.0,NORMAL
74,4528988850557,20003782,3782,0,0.7,25.0,NORMAL
75,4529008849831,19999274,726,0,0.7,25.0,NORMAL
76,4529028849896,20000065,65,0,0.7,25.0,NORMAL
77,4529048850603,20000707,707,0,0.7,25.0,NORMAL
78,4529068847753,19997150,2850,0,0.7,25.0,NORMAL
79,4529088850704,20002951,2951,0,0.7,25.0,NORMAL
80,4529108850318,19999614,386,0,0.7,25.0,NORMAL
81,4529128843721,19993403,6597,0,0.7,25.0,NORMAL
82,4529148843506,19999785,215,0,0.7,25.0,NORMAL
83,4529168844212,20000706,706,0,0.7,25.0,NORMAL
84,4529188845300,20001088,1088,0,0.7,25.0,NORMAL
85,4529208843361,19998061,1939,0,0.7,25.0,NORMAL
86,4529228843457,20000096,96,0,0.7,25.0,NORMAL
87,4529248843522,20000065,65,0,0.7,25.0,NORMAL
88,4529268843697,20000175,175,0,0.7,25.0,NORMAL
89,4529288843442,19999745,255,0,0.7,25.0,NORMAL
90,4529308843217,19999775,225,0,0.7,25.0,NORMAL
91,4529328843473,20000256,256,0,0.7,25.0,NORMAL
92,4529348843558,20000085,85,0,0.7,25.0,NORMAL
93,4529368843994,20000436,436,0,0.7,25.0,NORMAL
94,4529388843769,19999775,225,0,0.7,25.0,NORMAL
95,4529408843564,19999795,205,0,0.7,25.0,NORMAL
96,4529428849881,20006317,6317,0,0.7,25.0,NORMAL
97,4529448873310,20023429,23429,0,0.7,25.0,NORMAL
98,4529468851084,19977774,22226,0,0.7,25.0,NORMAL
99,4529488851019,19999935,65,0,0.7,25.0,NORMAL
100,4529508849552,19998533,1467,0,0.7,25.0,NORMAL
101,4529528843335,19993783,6217,0,0.7,25.0,NORMAL
102,4529548843340,20000005,5,0,0.7,25.0,NORMAL
